Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
stanley-plums,Stanley Plums,"<p>Description text how product was grown and reserved. All nutrition features that interest user goes here as well. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 46 kcal, </span><span>Carbohydrates |11.42 g, </span><span>Fat | 0.28 g</span><span>, Protein</span><span> | 0.7</span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,b1,b2,b3,b5,b6,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,Zn</p>",Foodly,Harvest 2015,"dessert, fresh, fruit, jam, juicy, plums, stanley plums, summer",true,Title,Default Title,,,,,"",1000,shopify,9,deny,manual,4.25,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Stanley-Plums-Above.jpeg?v=1456211110,1,,false,,,,,,,,,,,,,,,,,kg,
stanley-plums,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Stanley-Plum-perspective.jpeg?v=1456211110,2,,,,,,,,,,,,,,,,,,,,
stanley-plums,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Stanley-Plum-Cut-off.jpeg?v=1456211110,3,,,,,,,,,,,,,,,,,,,,
new-year-card,New Year card,<p></p>,Foodly,"","",false,Title,$10.00,,,,,"",0,,1,deny,gift_card,10.00,,false,false,,https://cdn.shopify.com/s/files/1/1148/3974/products/12_3301ad62-e398-4578-9e36-d43c4f23ff91.png?v=1456211108,1,,true,,,,,,,,,,,,,,,,,kg,
new-year-card,,,,,,,,$25.00,,,,,"",0,,1,deny,gift_card,25.00,,false,false,,,,,,,,,,,,,,,,,,,,,,kg,
new-year-card,,,,,,,,$50.00,,,,,"",0,,1,deny,gift_card,50.00,,false,false,,,,,,,,,,,,,,,,,,,,,,kg,
new-year-card,,,,,,,,$100.00,,,,,"",0,,1,deny,gift_card,100.00,,false,false,,,,,,,,,,,,,,,,,,,,,,kg,
christmas-card,Christmas card,<p></p>,Foodly,"","",false,Title,$100.00,,,,,"",0,,1,deny,gift_card,100.00,,false,false,,https://cdn.shopify.com/s/files/1/1148/3974/products/11_23d5660b-2642-4baf-9be9-dcb947e060c5.png?v=1456211107,1,,true,,,,,,,,,,,,,,,,,kg,
berrissimo-pack,Berrissimo Pack,"<ul>
<li><span style=""line-height: 1.5;"">1 kg raspberries</span></li>
<li><span style=""line-height: 1.5;"">1 kg strawberries</span></li>
<li><span style=""line-height: 1.5;"">2 kg red currants</span></li>
<li><span style=""line-height: 1.5;"">2 kg black currants</span></li>
</ul>
<ul></ul>",Foodly,Harvest 2014,fresh,true,Size,pack,,,,,"",4000,,0,deny,manual,15.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
jam-it-suit,Jam It Suit,"<ul>
<li>3 kg apricots</li>
<li>2 kg peaches</li>
<li>1 kg oranges</li>
<li>special syrup</li>
</ul>",Foodly,Harvest 2014,freah,true,Size,pack,,,,,"",6300,,1,deny,manual,15.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
pasta-mia-bag,Pasta Mia Bag,"<ul>
<li>4 kg tomatoes</li>
<li>2 kg sweet pepper</li>
<li>1 kg apples</li>
<li>o.5 kg onion</li>
</ul>",Foodly,Harvest 2014,fresh,true,Size,pack,,,,,"",7500,,-2,deny,manual,15.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
gala-apples,Gala Apples,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>Gala is one of our favorite apple cultivars. We started growing this particular apple cultivar in 1989 in our familial garden which was renovated two years before. Since that times Gala Apples are produced by our family and distributed at the local markets. Our cultivar has an exceptionally sweet taste with a mild flavor. Gala apples are a perfect choice to be added to salads or cooked. We highly recommend them as a constituent element of delicious sauces. </span></p>
<h2>[Nutritional value]</h2>
<span>Energy | 52 kcal, </span><span>Carbohydrates | 13,81 g, </span><span>Fat | 0.2 g</span><br>
<ul></ul>
<p><span>Vitamins:a,</span>b1,b2,b3,b5,b6,b9,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,Na,P,K,Zn</p>",Foodly,Harvest 2015,"apple, dessert, filling, fresh, fruit, harvest 2015, red, summer, sweet, topping",true,Title,Default Title,,,,,FS019,0,shopify,200,deny,manual,4.39,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/apples.jpeg?v=1456211105,1,,false,,,,,,,,,,,,,,,,,kg,
gala-apples,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/apple_pyramid.jpeg?v=1456211105,2,,,,,,,,,,,,,,,,,,,,
gala-apples,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Apple_crepes_with_raspberryon_top.jpeg?v=1456211105,3,,,,,,,,,,,,,,,,,,,,
red-kabocha-squash,Red Kabocha Squash,"<p>Kabocha has an exceptional naturally sweet flavor, even sweeter in taste than butternut squash. It is similar in texture and flavor to a pumpkin and a sweet potato combined. Some kabocha can taste like Russet potatoes. The rind of a kabocha is edible, although, some cooks may peel it to speed up the cooking process, or, to suit their personal taste preferences. Kabocha is commonly utilized in side dishes and soups, or, as a substitute for potato or other squash varieties.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 26 kcal, </span><span>Carbohydrates |6.5 g, </span><span>Fat | 0.1 g</span></p>
<ul></ul>
<p><span>Vitamins:a</span>,b1,b2,b3,b5,b6,b9c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,K,Zn</p>",Foodly,"","fresh, harvest 2014, kabocha, pumpkin, red, squash, winter",true,Title,Default Title,,,,,FS0115,0,shopify,10,deny,manual,2.84,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Kabocha.jpeg?v=1456211099,1,,false,,,,,,,,,,,,,,,,,kg,
red-kabocha-squash,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkin-close-up.jpeg?v=1456211099,2,,,,,,,,,,,,,,,,,,,,
red-kabocha-squash,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkin-in-the-field.jpeg?v=1456211099,3,,,,,,,,,,,,,,,,,,,,
maynard-plum,Maynard Plums,"<p>Maynard is one of our orchard special cultivars. Just like an apricot, the fruit flesh clings tightly to the pit. Its taste can differ from sweet to bitter sweet. The fruit is particularly aromatic that makes it especially appropriate for jams. As all plums Maynard plums are full of antioxidants.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 46 kcal, </span><span>Carbohydrates |11.42 g, </span><span>Fat | 0.28 g</span><span>, Protein</span><span> | 0.7</span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,b1,b2,b3,b5,b6,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,Zn</p>",Foodly,Harvest 2015,"fresh, fruit, harvest 2015, jam, juicy, plums, red, summer",true,Title,Default Title,,,,,SK70966,0,shopify,20,deny,manual,2.11,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Maynard-Plum-Front.jpeg?v=1456211090,1,,false,,,,,,,,,,,,,,,,,kg,
maynard-plum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Maynard-Plum-Macro.jpeg?v=1456211090,2,,,,,,,,,,,,,,,,,,,,
maynard-plum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Maynard-plum-close-up.jpeg?v=1456211090,3,,,,,,,,,,,,,,,,,,,,
damson-plums,Damson Plums,"<p>Damson plums are very popular and widespread cultivar. Probably it is the first one that comes in mind when you hear the word <em>""plum""</em>. The main characteristic of these plums is its distinctive rich flavour; unlike other plums, it is both high in sugars and highly astringent. The fruit of the damson has a distinctive, somewhat astringent taste, and are widely used for culinary purposes, particularly in fruit preserves or jam.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 46 kcal, </span><span>Carbohydrates |11.42 g, </span><span>Fat | 0.28 g</span><span>, Protein</span><span> | 0.7</span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,b1,b2,b3,b5,b6,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,Zn</p>",Foodly,Harvest 2015,"blue, damson, dessert, fresh, fruit preserves, harvest 2015, jam, plums, purple, stanley plums, summer",true,Title,Default Title,,,,,SK8700,0,shopify,6,deny,manual,1.99,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Damson.jpeg?v=1456211083,1,,false,,,,,,,,,,,,,,,,,kg,
damson-plums,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Damson-close-up.jpeg?v=1456211083,2,,,,,,,,,,,,,,,,,,,,
brandywine-tomatoes,Brandywine Tomatoes,"<meta charset=""utf-8"">
<p>Brandywine tomatoes popularly is considered among the best tasting available, probably is caused its origin. Brandywine tomato plant is an heirloom cultivar of the species. if you want to taste the best tomatoey flavor this tomato is exactly what you need. This particular cultivar is extremely succulent and tasty. It is a beautifully sweet tomato that is offset by a wonderful acidity that is a perfect combination for delicious dishes.</p>
<h1>[Nutritional value]</h1>
<p>Energy|18Kcal, Carbohydrates|3.9g, Protein|0.9g, Total Fat|0.2g, Dietary Fiber|1.2g</p>
<p><span>Vitamins:a,c,e,k</span></p>
<p><span>Minerals:Ca,Zn,Ma,P,Mn</span></p>",Foodly,Harvest 2015,"acidic, fresh, harvest 2015, pasta, pizza, preserves, sandwich, sauce, sweet, tomatoes, vegetables",true,Title,Default Title,,,,,SK99077,0,shopify,40,deny,manual,8.05,9.00,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Brandywine-tomatoes-front.jpeg?v=1456211078,1,,false,,,,,,,,,,,,,,,,,kg,
brandywine-tomatoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Brandywine-Tomatoes.jpeg?v=1456211078,2,,,,,,,,,,,,,,,,,,,,
cherry-tomatoes,Cherry Tomatoes,"<p>These Cherry tomatoes just might be the sweetest little tomatoes we’ve ever offered. It is all thanks to perfect weather conditions this season. Very small, firm and juicy, it’s a great choice when you’re looking for a fresh and nutritious option for snacking. And when you’re making salads, just wash and toss in – no slicing required.</p>
<meta charset=""utf-8"">
<h1>[Nutritional value]</h1>
<p>Energy|18Kcal, Carbohydrates|3.9g, Protein|0.9g, Total Fat|0.2g, Dietary Fiber|1.2g</p>
<p><span>Vitamins:a,c,e,k</span></p>
<p><span>Minerals:Ca,Zn,Ma,P,Mn</span></p>",Foodly,Harvest 2015,"cherry, cherry tomatoes, fresh, harvest 2015, red, salad, small, snack, tomatoes",true,Color,red,,,,,SF00901,0,shopify,40,deny,manual,3.74,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Cherry-tomatoes-above.jpeg?v=1472537367,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Cherry-tomatoes-front.jpeg?v=1472537367,kg,
cherry-tomatoes,,,,,,,,yellow,,,,,SF00902,0,shopify,40,deny,manual,4.74,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Cherry-tomatoes-front.jpeg?v=1472537367,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Cherry-tomatoes-front-yellow.jpg?v=1472537367,kg,
cherry-tomatoes,,,,,,,,orange,,,,,SF00903,0,shopify,40,deny,manual,5.74,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Cherry-tomatoes-front-orange.jpg?v=1472537367,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Cherry-tomatoes-front-orange.jpg?v=1472537367,kg,
cherry-tomatoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Cherry-tomatoes-front-yellow.jpg?v=1472537367,4,,,,,,,,,,,,,,,,,,,,
fuji-apples,Fuji Apples,"<p>Fuji apples are very special ones as they contain the taste of two absolutely different apple varieties Red Delicious and old Virginia Ralls Genet. These apples have a dense flesh that is sweeter and crisper than many other apple cultivars, making them popular with consumers not only in our region but around the world as well. It is not the only advantage they have. Fuji is a long liver, they can be kept on shelves for a long time compared to other apples, even without refrigeration. With refrigeration, Fuji apples can remain fresh for up to a year. It is exactly what you need if you are looking for a fruit store as a backup.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 52 kcal, </span><span>Carbohydrates |13.81 g, </span><span>Fat | 0.17 g</span></p>
<ul></ul>
<p><span>Vitamins:a,</span>b1,b2,b3,b5,b6,b9,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P</p>",Foodly,Harvest 2014,"apple, dessert, fresh, fuji apples, harvest 2014, long shelf life, red, sweet",true,Title,Default Title,,,,,SR89070,0,shopify,100,deny,manual,9.39,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Fuji-single.jpeg?v=1456211065,1,,false,,,,,,,,,,,,,,,,,kg,
fuji-apples,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Fuji.jpeg?v=1456211065,2,,,,,,,,,,,,,,,,,,,,
golden-delicious-apples,Golden Delicious Apples,"<p>It's already has been a well-known cultivar and beloved deeply by customers by its very sweet taste. Golden Delicious <span>is a favorite fruit for </span>salads, apple sauce, and apple butter. We recommend this cultivar to try as a filling of the pie. We find its delicious sweet taste a worth constituent to this dessert. <span>Golden Delicious apples</span><span> keep their shape well after baking, so you'll get beautiful slices that would make your pie looks perfect.</span></p>
<meta charset=""utf-8"">
<h2></h2>
<h2>[Nutritional value]</h2>
<p><span>Energy | 52 kcal, </span><span>Carbohydrates |13.81 g, </span><span>Fat | 0.17 g</span></p>
<ul></ul>
<p><span>Vitamins:a,</span>b1,b2,b3,b5,b6,b9,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P</p>",Foodly,Harvest 2015,"apples, dessert, fruit, harvest 2015, sweet",true,Title,Default Title,,,,,ER44654,0,shopify,12,deny,manual,2.30,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Golden-Delicious-Apples.jpeg?v=1456211059,1,,false,,,,,,,,,,,,,,,,,kg,
golden-delicious-apples,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Golden-Delicious-Apples-cut-off.jpeg?v=1456211059,2,,,,,,,,,,,,,,,,,,,,
golden-delicious-apples,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Golden-Delicious-Yellow-Background.jpeg?v=1456211059,3,,,,,,,,,,,,,,,,,,,,
red-bell-pepper,Red Bell Pepper,"<p>Red pepper is<span> rich source of antioxidants and vitamin C. The level of </span>carotene<span>, like </span>lycopene<span>, is nine times higher particularly in Red peppers in comparison to other variaties of pepper. Red peppers have twice the vitamin C content of green peppers. Nourishing this fine pepper cultivar, you are taking care of yourself and your family providing them with a healthy and very useful food.</span></p>
<h1>[Nutritional value]</h1>
<p>Energy|20Kcal, Carbohydrates|4.64g, Protein|0.86g, Total Fat|0.17g, Dietary Fiber|1.8g</p>
<p>Vitamins:b1,b6,c,k</p>
<p>Minerals:Ca,Fe,Zn,Mg,P,Mn</p>",Foodly,Harvest 2015,"fresh, paella, paprika, pepper, red, southern cuisine, vegetables",true,Title,Default Title,,,,,"",0,shopify,19,deny,manual,5.04,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Bell-Pepper.jpeg?v=1456211053,1,,false,,,,,,,,,,,,,,,,,kg,
red-bell-pepper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Bell-Pepper-2.jpeg?v=1456211053,2,,,,,,,,,,,,,,,,,,,,
red-bell-pepper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Pepper-Bundle.jpeg?v=1456211053,3,,,,,,,,,,,,,,,,,,,,
capia-pepper,Capia Pepper,"<p><span>Capia peppers are rich in ascorbic acid and carotene. Grill it or just eat it raw. The Capia pepper is a delicatecy of different southern cousines, now organic at your kitchen. Just give it a try and see how it taste in your paella.</span></p>
<h1>[Nutritional value]</h1>
<p>Energy|20Kcal, Carbohydrates|4.64g, Protein|0.86g, Total Fat|0.17g, Dietary Fiber|1.8g</p>
<p>Vitamins:b1,b6,c,k</p>
<p>Minerals:Ca,Fe,Zn,Mg,P,Mn</p>",Foodly,Harvest 2015,"fresh, grill, harvest 2015, raw, red, southern cuisine, vegetables",true,Title,Default Title,,,,,"",0,shopify,19,deny,manual,6.95,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Capia-Pepper-above.jpeg?v=1456211049,1,,false,,,,,,,,,,,,,,,,,kg,
capia-pepper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Capia-Pepper.jpeg?v=1456211049,2,,,,,,,,,,,,,,,,,,,,
parsley,Parsley,"<p>Use curly leaf parsley as a garnish on your main dishes. We recommend this fresh herbal as a garnish on potato dishes (boiled or mashed potatoes), on rice dishes (risotto or pilaf), on fish, fried chicken, lamb, goose, and steaks, as well in meat or vegetable stews (including shrimp creole, beef bourguignon, goulash, or chicken paprikash).</p>
<h1>[Nutritional value]</h1>
<p>Energy|36Kcal, Carbohydrates|6.33g, Protein|2.97g, Fat|0.79g, Dietary Fiber|3.3g</p>
<p>Vitamins:a,b3,b9,c,k</p>
<p>Minerals:Ca,Fe,Zn,Mg,K,Mn</p>",Foodly,Harvest 2015,"dried, fresh, green, harvest 2015, herbals, parsley",true,Dimension,Bunch,,,,,FS014,0,shopify,0,deny,manual,1.75,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Parsley.jpeg?v=1456211045,1,,false,,,,,,,,,,,,,,,,,kg,
parsley,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Parsley-close-up.jpeg?v=1456211045,2,,,,,,,,,,,,,,,,,,,,
parsley,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Parsley-above.jpeg?v=1456211045,3,,,,,,,,,,,,,,,,,,,,
organic-corn-oil,Organic Corn Oil,"<p>Our Organic Corn Oil is a cholesterol-free food product with zero grams of trans fat per individual serving. Corn oil is often used for popping popcorn and frying French fries and can be used for regular cooking in place of other oils. This 100 percent pure, cholesterol-free oil gives you a heart-healthy way to cook your favorite meals.</p>",Foodly,Harvest 2014,"corn, dressing, liquid, oil, vegetable oil",true,Title,Default Title,,,,,TY89077,0,shopify,70,deny,manual,8.98,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Single-oil.jpeg?v=1456211037,1,,false,,,,,,,,,,,,,,,,,oz,
organic-corn-oil,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Corn-Oil-perspective.jpeg?v=1456211037,2,,,,,,,,,,,,,,,,,,,,
organic-corn-oil,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Oil-and-vineguard.jpeg?v=1456211037,3,,,,,,,,,,,,,,,,,,,,
balsamic-vinegar,Balsamic Vinegar,"<meta charset=""utf-8""><span><span>Local Balsamiq Vinegar </span></span><meta charset=""utf-8""><span><span>tastes like real vinegar imported from Italy, but less expensive and taste with native flavour. It </span>works well in a salad mixed with extra virgin olive oil. Put it on lettuce or a tomato slice and give it a try with crisp toast! </span>",Foodly,Harvest 2014,"balsamic, balsamic vinegar, balsamiq, dressing, filling, liquid, vinegar",true,Title,Default Title,,,,,TY89784,0,shopify,27,deny,manual,3.48,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar.jpeg?v=1456211029,1,,false,,,,,,,,,,,,,,,,,oz,
balsamic-vinegar,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar-single.jpeg?v=1456211029,2,,,,,,,,,,,,,,,,,,,,
balsamic-vinegar,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar-and-tomatoes.jpeg?v=1456211029,3,,,,,,,,,,,,,,,,,,,,
paprika-cayenne-pepper-mixed-spice,Paprika & Cayenne Pepper Mixed Spice,"<p>A perfect combination of spicy flavor to enrich the taste of your dishes. We recommend to use it as a key ingredient in a variety of hot sauces, particularly those employing vinegar as a preservative. Our pepper mixed spice is created based on a special proportion of each ingredient that makes it perfect to be spread on sandwiches or similar items to add a spicy flavor.</p>
<p>This mix consists of paprika and cayenne pepper, clove, mustard, zest and oregano. </p>",Foodly,Harvest 2014,"cilly, dried, hot spice, pepper, spice",true,Title,Default Title,,,,,"",0,,1,deny,manual,15.50,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Pepper-Mixed-Spice.jpeg?v=1456211025,1,,false,,,,,,,,,,,,,,,,,g,
paprika-cayenne-pepper-mixed-spice,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Pepper-Mixed-Spice-with-Spoon.jpeg?v=1456211025,2,,,,,,,,,,,,,,,,,,,,
paprika-cayenne-pepper-mixed-spice,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Spoons-Collection.jpeg?v=1456211025,3,,,,,,,,,,,,,,,,,,,,
copy-of-paprika-cayenne-pepper-mixed-spice,Green Mixed Spice,"<p>This mixture works best for soups, stews and salads. We also highly recommend to try it as a basis of your parsley pesto season. This spice would make it extremely delightful. It will add a delicious aroma to your cooking so no one can ignore it. Our pepper mixed spice is created based on a special proportion of each ingredient that makes it a perfect addition to your everyday meal.</p>
<p>This mix consists of dried and powered basil, parsley, oregano, rosemary and thyme.</p>",Foodly,Harvest 2014,"cilly, dried, hot spice, pepper, spice",true,Title,Default Title,,,,,UT87860,0,shopify,200,deny,manual,9.89,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Green-Mixed-Spice.jpeg?v=1456211020,1,,false,,,,,,,,,,,,,,,,,g,
copy-of-paprika-cayenne-pepper-mixed-spice,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Green-Mixed-Spice-with-Spoon.jpeg?v=1456211020,2,,,,,,,,,,,,,,,,,,,,
copy-of-paprika-cayenne-pepper-mixed-spice,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Green-Mixed-Spice-Decorated.jpeg?v=1456211020,3,,,,,,,,,,,,,,,,,,,,
red-mixed-spice,Red Mixed Spice,"<p>Constituents of this mixture prove the name of it. Red Mixed Spice is full of flavored ingredients such as dried tomatoes and pepper, paprika, carrot, onion, garlic, mustard, ginger, and sea salt. We designed it specially for dishes of rice paella or risotto. It works great with a Spanish soup gazpacho or any other tomato dish.</p>",Foodly,Harvest 2014,"cilly, dried, paprika, spice, tomato",true,Title,Default Title,,,,,UT76001,0,shopify,200,deny,manual,7.99,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Mixed-Spice.jpeg?v=1456211012,1,,false,,,,,,,,,,,,,,,,,g,
red-mixed-spice,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-Mixed-Spice-with-Spoon.jpeg?v=1456211012,2,,,,,,,,,,,,,,,,,,,,
red-mixed-spice,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Four-Spices.jpeg?v=1456211012,3,,,,,,,,,,,,,,,,,,,,
veg-mixed-spice,Veg Mixed Spice,"<p>Vegetables can be useful in any state fresh, boiled, grilled and even dried. This is a mixture of our favorite and so native vegetables wrapped up into the mix of flavors. Veg Mixed Spice contains dried carrots, onion, leek, bell pepper, chilli pepper, garlic, basil, oregano, marjoram, allspice and black and white pepper. Feel free to add spice to any of your boiled, stewed or baked dishes. It will make your meat food aromatic and particularly tasty.</p>",Foodly,Harvest 2014,"allspice, carrot, dried, garlic, herbal, majoran, oregano, paprika, spice, tomato, vegetables",true,Title,Default Title,,,,,UT76078,0,shopify,400,deny,manual,8.14,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Veg-Mixed-Spice.jpeg?v=1456211007,1,,false,,,,,,,,,,,,,,,,,g,
veg-mixed-spice,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Three-Spice-Spoons.jpeg?v=1456211007,2,,,,,,,,,,,,,,,,,,,,
veg-mixed-spice,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Spice-Plates.jpeg?v=1456211007,3,,,,,,,,,,,,,,,,,,,,
sweet-grapes,Sweet Grapes,"<p><span>Thompson seedless grapes are one of the world's most popular eating grapes. It has a perfect refreshing sweet taste. What's the best of it that they can be a dessert itself or used in some sort of fruit salad seasoned with any condiment or juice.  </span></p>
<h2>[Nutritional value]</h2>
<p>Energy | 39 kcal, Carbohydrates |10 g, Fat | 0.1 g, Protein | 0.5g</p>
<ul></ul>
<p>Vitamins:a,b1,b2,b3,b5,b6,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,Zn</p>",Foodly,"","",true,Title,Default Title,,,,,"",2000,,1,deny,manual,15.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
balsamic-vinegar-2015,Balsamic Vinegar 2015,"<meta charset=""utf-8""><span><span>Local Balsamiq Vinegar </span></span><meta charset=""utf-8""><span><span>tastes like real vinegar imported from Italy, but less expensive and taste with native flavour. It </span>works well in a salad mixed with extra virgin olive oil. Put it on lettuce or a tomato slice and give it a try with crisp toast! </span>",Foodly,Harvest 2015,"balsamic, balsamic vinegar, balsamiq, dressing, filling, liquid, vinegar",true,Title,Default Title,,,,,TY89784,0,shopify,27,deny,manual,3.48,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar_39f87480-3235-407b-a2e6-4fe718fde5ff.jpeg?v=1456211000,1,,false,,,,,,,,,,,,,,,,,oz,
balsamic-vinegar-2015,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar-single_51e52c69-100f-41e2-b823-0c8480101143.jpeg?v=1456211000,2,,,,,,,,,,,,,,,,,,,,
balsamic-vinegar-2015,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar-and-tomatoes_c3c532ba-8857-4e2f-95d6-a27153a068d2.jpeg?v=1456211000,3,,,,,,,,,,,,,,,,,,,,
